Nazwa,Wersja,Dostępność,Ocena,Cena,Data_Utworzenia,Specjalizacja,Imię_Twórcy,Nazwisko_Twórcy,Płeć_Twórcy,Kraj,Email_Serwisowy
Cardify,0.44,Android,5,$45.03,3/4/2020,Wyszukiwarka Synonimów,Damaris,Mahaffey,Polygender,China,dmahaffeyt@google.fr
Zoolab,0.22,IOS,4,$39.08,12/6/2020,Galeria tematyczna,Dominik,Sloam,Polygender,Syria,dsloamu@goo.ne.jp
Matsoft,8.56,IOS,1,$48.22,10/12/2021,Odtwarzacz muzyki,Desirae,Tarte,Female,China,dtartev@chron.com
Zamit,7.6,Android,1,$30.26,2/26/2021,Komunikator,Orton,Lukianov,Non-binary,Peru,olukianovw@mapquest.com
Rank,8.9.5,IOS,3,$3.85,5/15/2021,Odtwarzacz muzyki,Stirling,O'Corrin,Non-binary,Egypt,socorrinx@free.fr
Bytecard,0.6.3,Android,1,$23.86,3/20/2021,Tłumacz,Aaron,Parkhouse,Bigender,China,aparkhousey@joomla.org
Tresom,1.4.3,Android,0,$37.94,1/15/2021,Blog,Martha,Fleischer,Bigender,Philippines,mfleischerz@stumbleupon.com
Sonair,2.0,IOS,2,$22.63,1/6/2021,Notatnik,Chickie,Fluger,Female,Indonesia,cfluger10@blinklist.com
Cookley,1.7,Android,5,$27.98,6/27/2021,Blog,Anders,Warfield,Bigender,China,awarfield11@bbc.co.uk
Keylex,0.5.5,Android,1,$4.15,1/26/2021,Blog,Emalia,Caile,Female,Greece,ecaile12@usnews.com
Latlux,1.05,IOS,4,$39.39,5/14/2020,Komunikator,Clovis,Dimelow,Bigender,China,cdimelow13@va.gov
Latlux,9.5.4,Android,0,$4.72,1/24/2021,Odtwarzacz muzyki,Stanford,Ende,Genderqueer,Pakistan,sende14@state.gov
Transcof,3.9,Android,0,$7.67,6/27/2020,Odtwarzacz muzyki,Ad,Coveley,Genderqueer,Kyrgyzstan,acoveley15@nba.com
Toughjoyfax,7.9,Android,4,$34.52,2/5/2020,Odtwarzacz muzyki,Natala,Kloska,Agender,China,nkloska16@independent.co.uk
Job,8.9.8,Android,0,$0.51,4/24/2020,Galeria tematyczna,Beulah,Heffernon,Bigender,China,bheffernon17@thetimes.co.uk
Transcof,0.2.1,Android,5,$2.65,5/22/2020,Kreator Postaci,Ram,Camplen,Genderfluid,China,rcamplen18@eventbrite.com
Lotlux,0.56,Android,5,$38.86,12/23/2019,Kreator Postaci,Isidoro,Walpole,Non-binary,China,iwalpole19@uiuc.edu
Gembucket,0.85,Android,0,$15.74,5/2/2021,Tłumacz,Pascale,Heustice,Non-binary,Peru,pheustice1a@barnesandnoble.com
Hatity,0.43,IOS,1,$20.86,11/1/2020,Galeria tematyczna,Ase,Suff,Female,United States,asuff1b@upenn.edu
Prodder,1.7.2,IOS,1,$37.40,11/11/2021,Sprawdzanie Poprawności Pisowni,Rhianon,Spore,Bigender,China,rspore1c@wp.com
Quo Lux,6.0,Android,1,$48.29,8/9/2020,Blog,Luther,Wolfers,Genderqueer,Micronesia,lwolfers1d@blogs.com
Viva,8.69,Android,5,$35.34,1/23/2020,Komunikator,Georg,Swepstone,Genderqueer,Guatemala,gswepstone1e@illinois.edu
Fintone,2.1,Android,3,$48.61,2/19/2021,Kreator Okładek,Catlee,Sneesby,Genderfluid,Russia,csneesby1f@microsoft.com
Trippledex,6.7,IOS,4,$37.34,6/18/2020,Komunikator,Boris,Menendes,Bigender,Czech Republic,bmenendes1g@amazonaws.com
Mat Lam Tam,0.18,IOS,1,$18.99,3/13/2021,Blog,Inesita,McPhelimey,Agender,Russia,imcphelimey1h@ftc.gov
Andalax,0.29,Android,2,$43.71,12/14/2019,Notatnik,Ariela,Flello,Non-binary,Belarus,aflello1i@dailymail.co.uk
Flexidy,0.39,IOS,4,$10.01,12/23/2020,Tłumacz,Hieronymus,Widdison,Bigender,United States,hwiddison1j@spiegel.de
Zaam-Dox,3.7,IOS,4,$37.26,11/14/2021,Wyszukiwarka Synonimów,Edna,Dreelan,Genderfluid,China,edreelan1k@techcrunch.com
Domainer,5.5,IOS,1,$2.52,12/26/2020,Sprawdzanie Poprawności Pisowni,Yule,Turfus,Genderfluid,Finland,yturfus1l@phoca.cz
Bitwolf,0.1.0,IOS,2,$33.63,2/25/2021,Komunikator,Anatollo,Dayes,Non-binary,Indonesia,adayes1m@wikispaces.com
Otcom,9.95,Android,1,$7.06,12/28/2019,Galeria tematyczna,Harris,Wackly,Genderfluid,Micronesia,hwackly1n@apple.com
Zontrax,5.5.4,IOS,5,$21.02,1/9/2020,Kreator Postaci,Catlaina,Barnson,Bigender,Philippines,cbarnson1o@icio.us
Voyatouch,3.4.9,IOS,5,$45.28,8/19/2021,Wyszukiwarka Synonimów,Ursuline,Yegorkin,Agender,Mexico,uyegorkin1p@istockphoto.com
Sub-Ex,8.91,Android,5,$1.84,12/30/2019,Blog,Moises,Klimas,Genderfluid,Indonesia,mklimas1q@last.fm
Fixflex,2.9,Android,0,$23.54,4/10/2021,Notatnik,Sofie,Oxx,Bigender,China,soxx1r@tamu.edu
Fix San,2.92,Android,5,$21.79,1/6/2021,Kreator Okładek,Tiphanie,Toupe,Non-binary,China,ttoupe1s@twitter.com
Redhold,0.7.8,Android,2,$32.65,11/21/2021,Blog,Rosabel,Rigden,Genderfluid,Mexico,rrigden1t@patch.com
Y-find,2.3,Android,1,$30.66,4/27/2021,Kreator Postaci,Prince,McCaughan,Genderqueer,Czech Republic,pmccaughan1u@yahoo.com
Kanlam,2.4.9,Android,0,$9.46,2/18/2020,Kreator Postaci,Bethany,Wittleton,Genderqueer,Mongolia,bwittleton1v@360.cn
Treeflex,4.3,Android,1,$12.82,7/26/2020,Odtwarzacz muzyki,Georgine,Sainter,Genderfluid,Russia,gsainter1w@themeforest.net
Lotlux,2.54,IOS,3,$32.25,10/1/2020,Kreator Postaci,Grantley,Cud,Genderfluid,China,gcud1x@desdev.cn
Cookley,4.8.5,Android,1,$18.21,7/9/2021,Notatnik,Zebulen,Allberry,Female,United States,zallberry1y@theguardian.com
Bitchip,0.2.8,Android,5,$30.44,11/28/2021,Blog,Shaina,Wybern,Genderfluid,China,swybern1z@marketwatch.com
Kanlam,0.9.0,IOS,5,$26.07,10/17/2020,Sprawdzanie Poprawności Pisowni,Yoshiko,Borthram,Female,China,yborthram20@blogger.com
Subin,5.20,IOS,0,$23.79,6/30/2021,Wyszukiwarka Synonimów,Gideon,Ramel,Bigender,Portugal,gramel21@technorati.com
Rank,4.7,IOS,3,$37.17,1/29/2020,Odtwarzacz muzyki,Cristie,Scriver,Bigender,Honduras,cscriver22@eventbrite.com
Alphazap,7.29,IOS,2,$40.63,3/31/2021,Komunikator,Doll,Oen,Genderqueer,Czech Republic,doen23@state.gov
Opela,8.53,Android,4,$14.13,7/20/2021,Odtwarzacz muzyki,Dorri,Hugo,Bigender,China,dhugo24@cdc.gov
Cookley,3.3,IOS,0,$29.54,10/21/2021,Tłumacz,Joceline,Daldan,Polygender,France,jdaldan25@ocn.ne.jp
Lotstring,0.26,IOS,1,$27.93,7/8/2020,Odtwarzacz muzyki,Mackenzie,Nelissen,Non-binary,China,mnelissen26@marketwatch.com
Matsoft,0.15,IOS,2,$47.75,8/9/2020,Blog,Melesa,Saxon,Male,Colombia,msaxon27@npr.org
Prodder,0.3.6,IOS,0,$42.46,8/19/2020,Tłumacz,Zachery,Beynke,Genderqueer,Argentina,zbeynke28@unc.edu
Konklux,2.65,IOS,0,$23.76,2/24/2021,Kreator Okładek,Adoree,Tilmouth,Genderfluid,Philippines,atilmouth29@nymag.com
Bigtax,0.92,Android,5,$13.73,10/31/2020,Sprawdzanie Poprawności Pisowni,Tilda,Landell,Bigender,Ukraine,tlandell2a@dailymotion.com
Y-Solowarm,1.7.3,Android,3,$21.87,1/13/2020,Kreator Postaci,Albie,Bodega,Agender,China,abodega2b@economist.com
Redhold,0.89,IOS,0,$12.92,2/14/2020,Kreator Postaci,Etta,Pepperill,Genderqueer,Philippines,epepperill2c@japanpost.jp
Alphazap,5.52,IOS,1,$1.41,3/11/2020,Galeria tematyczna,Deny,Pardal,Genderqueer,South Korea,dpardal2d@msu.edu
Zathin,3.54,IOS,1,$37.88,10/31/2020,Blog,Britni,Temby,Genderqueer,Malaysia,btemby2e@shinystat.com
Matsoft,0.59,IOS,2,$13.35,9/1/2020,Galeria tematyczna,Belva,Gludor,Polygender,Indonesia,bgludor2f@nytimes.com
Fixflex,6.1,Android,5,$9.26,5/31/2020,Odtwarzacz muzyki,Enos,Carillo,Genderqueer,Portugal,ecarillo2g@fotki.com
Temp,7.7.0,IOS,4,$47.81,1/30/2020,Kreator Okładek,Sibley,Buzek,Non-binary,Luxembourg,sbuzek2h@slate.com
Job,9.78,Android,5,$31.67,7/29/2020,Kreator Postaci,Glendon,Stidston,Non-binary,Ghana,gstidston2i@hugedomains.com
Alpha,5.7,Android,0,$47.43,7/5/2021,Blog,Osborn,Mosson,Non-binary,Slovenia,omosson2j@i2i.jp
Veribet,2.5,Android,1,$3.28,2/28/2021,Tłumacz,Rowe,Piatti,Female,Philippines,rpiatti2k@illinois.edu
Gembucket,1.0,Android,1,$5.05,3/5/2020,Galeria tematyczna,Kahlil,Ottiwill,Agender,Indonesia,kottiwill2l@chronoengine.com
Trippledex,3.4.2,IOS,5,$32.67,1/29/2020,Blog,Aubree,Rosencrantz,Female,China,arosencrantz2m@npr.org
Latlux,7.37,Android,4,$28.94,2/11/2021,Sprawdzanie Poprawności Pisowni,Danella,Davidesco,Genderfluid,Serbia,ddavidesco2n@apple.com
Opela,7.0.5,Android,2,$5.26,8/28/2021,Komunikator,Leo,Thominga,Female,Peru,lthominga2o@wordpress.com
Span,8.8.8,Android,3,$7.33,9/7/2021,Galeria tematyczna,Don,Lovatt,Genderqueer,Philippines,dlovatt2p@si.edu
Sonair,0.63,Android,1,$48.06,2/7/2020,Galeria tematyczna,Zonnya,Donaher,Agender,Ukraine,zdonaher2q@myspace.com
Zamit,0.9.1,IOS,2,$34.08,6/18/2020,Galeria tematyczna,Mohammed,Aikett,Female,Netherlands,maikett2r@marketwatch.com
Cardify,0.6.9,IOS,5,$12.85,5/2/2021,Notatnik,Sophi,Bowller,Polygender,France,sbowller2s@t-online.de
Alphazap,8.35,IOS,1,$13.68,3/4/2021,Tłumacz,Sigismondo,Corradi,Polygender,Japan,scorradi2t@bandcamp.com
Otcom,8.5.9,IOS,5,$34.39,1/5/2020,Odtwarzacz muzyki,Marcie,Schild,Bigender,China,mschild2u@springer.com
Sub-Ex,2.2.1,IOS,4,$48.69,12/27/2020,Tłumacz,Rozele,Mapples,Non-binary,Thailand,rmapples2v@chron.com
Temp,3.1.9,Android,5,$43.26,5/13/2021,Wyszukiwarka Synonimów,Kevin,Lipp,Male,United States,klipp2w@1und1.de
Trippledex,0.78,IOS,3,$35.97,8/11/2020,Galeria tematyczna,Molli,Joslyn,Agender,Sweden,mjoslyn2x@github.io
Stim,0.7.2,IOS,1,$13.61,6/20/2021,Notatnik,Rhody,Woollons,Genderfluid,North Korea,rwoollons2y@dell.com
Veribet,0.8.7,Android,1,$10.89,8/7/2021,Galeria tematyczna,Lazarus,Logan,Agender,China,llogan2z@printfriendly.com
Pannier,8.1,Android,3,$45.38,12/9/2020,Tłumacz,Jaquenette,Crisford,Agender,Argentina,jcrisford30@unblog.fr
Matsoft,0.41,Android,2,$47.21,12/14/2020,Komunikator,Yehudi,Gimbrett,Female,Brazil,ygimbrett31@themeforest.net
Cardguard,0.4.2,IOS,4,$48.28,7/31/2021,Wyszukiwarka Synonimów,Zabrina,Wolfarth,Female,Indonesia,zwolfarth32@instagram.com
Tres-Zap,4.3,IOS,4,$18.87,3/1/2021,Tłumacz,Caresa,Baudoux,Female,Egypt,cbaudoux33@fotki.com
Domainer,2.43,Android,5,$3.40,10/22/2020,Komunikator,Lacy,Laraway,Polygender,Myanmar,llaraway34@google.co.uk
Trippledex,3.7.9,Android,1,$5.16,11/6/2021,Galeria tematyczna,Winifield,Gawke,Genderqueer,Tunisia,wgawke35@macromedia.com
Tampflex,5.3.4,Android,3,$3.38,9/7/2021,Sprawdzanie Poprawności Pisowni,Edee,Colbert,Female,China,ecolbert36@illinois.edu
Treeflex,0.92,IOS,2,$5.53,11/18/2020,Blog,Ezequiel,Leatham,Bigender,Malaysia,eleatham37@dyndns.org
Y-Solowarm,0.3.3,Android,0,$39.91,5/23/2021,Tłumacz,Cosette,Minico,Bigender,Democratic Republic of the Congo,cminico38@auda.org.au
Lotlux,0.8.5,IOS,5,$48.91,1/2/2020,Kreator Okładek,Anne-marie,Teanby,Agender,Panama,ateanby39@wikipedia.org
Vagram,1.7.4,Android,5,$0.70,7/6/2021,Tłumacz,Shae,Laminman,Bigender,Macedonia,slaminman3a@google.co.jp
Opela,0.6.6,IOS,4,$45.12,10/23/2020,Notatnik,Alyss,Rumsey,Male,France,arumsey3b@smugmug.com
Alphazap,0.33,IOS,5,$8.00,12/20/2019,Komunikator,Grange,Enrrico,Male,Azerbaijan,genrrico3c@shareasale.com
Treeflex,7.3.2,IOS,5,$17.86,10/19/2020,Kreator Postaci,Nelie,Noen,Agender,Finland,nnoen3d@amazon.com
Prodder,9.0.3,IOS,2,$30.71,4/19/2020,Komunikator,Evangelina,Mundie,Agender,Myanmar,emundie3e@wisc.edu
Zaam-Dox,5.2,IOS,2,$0.79,2/5/2021,Tłumacz,Reine,Ruperti,Female,Nigeria,rruperti3f@com.com
Bitwolf,0.8.9,IOS,3,$30.89,4/17/2020,Komunikator,Ronald,Vasin,Genderfluid,Indonesia,rvasin3g@sina.com.cn
Span,0.1.5,IOS,3,$12.35,4/19/2021,Blog,Andriana,Bony,Female,Japan,abony3h@mysql.com
Kanlam,0.3.6,Android,0,$19.81,2/8/2021,Odtwarzacz muzyki,Fernande,Wimpeney,Agender,Indonesia,fwimpeney3i@mac.com
Bytecard,4.9.4,IOS,2,$8.06,4/29/2020,Notatnik,Dannel,Baxter,Genderqueer,Cuba,dbaxter3j@flavors.me
Prodder,6.2,IOS,4,$31.01,10/29/2020,Kreator Postaci,Shara,Kingham,Bigender,Bangladesh,skingham3k@harvard.edu
Bytecard,5.0,IOS,0,$29.97,12/1/2021,Kreator Postaci,Shandie,Cordey,Bigender,Croatia,scordey3l@vkontakte.ru
Viva,0.9.9,IOS,3,$33.61,10/30/2021,Tłumacz,Karlen,Boobyer,Non-binary,Indonesia,kboobyer3m@ustream.tv
Toughjoyfax,0.16,IOS,1,$1.67,4/18/2021,Kreator Okładek,Alon,Nana,Agender,Afghanistan,anana3n@qq.com
Aerified,0.2.8,Android,4,$16.28,7/17/2021,Tłumacz,Shae,Vere,Agender,China,svere3o@hugedomains.com
Stronghold,7.1,Android,5,$34.47,10/27/2021,Kreator Okładek,Danell,Libri,Non-binary,Nepal,dlibri3p@nyu.edu
Tin,7.8,IOS,5,$23.16,3/3/2020,Blog,Brigit,Backwell,Bigender,China,bbackwell3q@google.nl
Namfix,5.3.9,Android,5,$19.31,2/6/2020,Wyszukiwarka Synonimów,Trevor,Casajuana,Agender,Poland,tcasajuana3r@cargocollective.com
Home Ing,4.9,Android,4,$15.33,11/14/2021,Sprawdzanie Poprawności Pisowni,Theodoric,McEneny,Genderfluid,El Salvador,tmceneny3s@angelfire.com
Zoolab,0.6.8,IOS,4,$39.70,9/28/2020,Notatnik,Claire,Mirrlees,Polygender,Philippines,cmirrlees3t@un.org
Alpha,0.36,Android,4,$12.19,3/16/2020,Odtwarzacz muzyki,Dene,Roderighi,Polygender,Argentina,droderighi3u@fema.gov
Voltsillam,6.8,IOS,2,$22.34,7/31/2020,Notatnik,Kimmi,MacDonell,Female,China,kmacdonell3v@globo.com
Y-Solowarm,7.87,Android,2,$12.03,8/10/2021,Notatnik,Isadora,Landsman,Agender,China,ilandsman3w@histats.com
Biodex,8.40,Android,2,$29.05,1/27/2020,Kreator Okładek,Brodie,Ferrierio,Polygender,Indonesia,bferrierio3x@delicious.com
Toughjoyfax,2.7.6,Android,2,$11.07,10/13/2020,Komunikator,Morena,Stacey,Genderqueer,Thailand,mstacey3y@flavors.me
Solarbreeze,3.9.4,Android,5,$14.49,5/3/2021,Blog,Benoite,Tanzig,Genderqueer,Japan,btanzig3z@blogger.com
Holdlamis,0.6.2,Android,5,$43.88,6/14/2020,Wyszukiwarka Synonimów,Davey,Ecclestone,Female,China,decclestone40@ebay.com
Rank,2.8.4,IOS,3,$16.24,1/7/2020,Notatnik,Parrnell,Gillbe,Male,China,pgillbe41@prnewswire.com
Bigtax,0.1.7,Android,1,$11.83,1/6/2020,Odtwarzacz muzyki,Ashley,Halgarth,Female,China,ahalgarth42@cdc.gov
Tres-Zap,0.5.3,Android,3,$40.63,9/26/2020,Komunikator,Josy,Roddell,Agender,Bolivia,jroddell43@studiopress.com
Viva,2.4.5,IOS,1,$47.06,10/31/2021,Wyszukiwarka Synonimów,Erek,Grayland,Female,Ecuador,egrayland44@miitbeian.gov.cn
Zoolab,0.2.7,IOS,0,$26.87,8/26/2020,Odtwarzacz muzyki,Piggy,Roswarn,Non-binary,Venezuela,proswarn45@blogs.com
Greenlam,0.2.1,IOS,2,$27.29,10/18/2021,Kreator Postaci,Britteny,Eeles,Non-binary,Sweden,beeles46@senate.gov
Matsoft,3.7.9,Android,2,$39.34,3/9/2021,Notatnik,Kerrie,Quarrington,Male,Greece,kquarrington47@myspace.com
Lotlux,8.3,Android,3,$35.51,11/26/2020,Kreator Okładek,Gisela,Thurling,Agender,Indonesia,gthurling48@twitter.com
Temp,6.7.9,IOS,4,$49.23,10/22/2021,Notatnik,Billy,Meegin,Genderfluid,Brazil,bmeegin49@microsoft.com
Alphazap,4.0.7,IOS,3,$13.73,8/13/2021,Tłumacz,Darlene,Kinzett,Polygender,China,dkinzett4a@creativecommons.org
Biodex,0.7.5,IOS,5,$9.70,9/17/2020,Kreator Okładek,Jennifer,Fittis,Genderfluid,France,jfittis4b@auda.org.au
Overhold,0.2.9,Android,3,$35.79,7/21/2021,Kreator Postaci,Dominica,Digan,Non-binary,Poland,ddigan4c@weibo.com
Tres-Zap,1.38,IOS,0,$13.14,7/11/2021,Sprawdzanie Poprawności Pisowni,Tommy,Manville,Agender,Egypt,tmanville4d@edublogs.org
Duobam,9.8,IOS,3,$25.13,5/8/2020,Komunikator,Farica,Ferrand,Genderfluid,Poland,fferrand4e@columbia.edu
It,6.2.1,Android,3,$4.38,11/13/2021,Kreator Okładek,Wendie,Reinbech,Non-binary,Argentina,wreinbech4f@paypal.com
Tin,0.2.5,IOS,3,$44.51,9/29/2020,Komunikator,Kerrill,Cumbers,Agender,Sweden,kcumbers4g@army.mil
Alpha,1.97,Android,1,$34.43,6/4/2021,Galeria tematyczna,Adelice,Caldow,Male,Brazil,acaldow4h@skyrock.com
Lotlux,0.66,Android,4,$5.98,3/8/2021,Kreator Postaci,Elke,Atterley,Genderfluid,Indonesia,eatterley4i@php.net
Lotlux,4.1,IOS,2,$48.75,10/3/2021,Notatnik,Evelyn,Retchless,Genderfluid,Philippines,eretchless4j@parallels.com
Wrapsafe,0.6.5,IOS,2,$13.11,12/17/2019,Galeria tematyczna,Jesus,Scranny,Female,Indonesia,jscranny4k@reverbnation.com
Hatity,7.4.4,IOS,2,$17.73,11/24/2021,Kreator Okładek,Jeri,MacCostye,Bigender,Uzbekistan,jmaccostye4l@goo.ne.jp
Y-find,5.33,Android,4,$27.39,2/10/2020,Kreator Okładek,Michell,Gorvette,Agender,Iran,mgorvette4m@samsung.com
Alpha,3.47,IOS,3,$3.11,7/11/2020,Odtwarzacz muzyki,Ola,Panks,Polygender,Japan,opanks4n@cbc.ca
Rank,0.6.0,IOS,3,$2.28,5/10/2021,Notatnik,Sigfrid,Iddiens,Agender,China,siddiens4o@chron.com
Y-find,8.3.7,Android,1,$48.03,9/11/2021,Sprawdzanie Poprawności Pisowni,Randy,Grosvener,Non-binary,China,rgrosvener4p@cornell.edu
Asoka,2.1,IOS,1,$35.10,9/12/2021,Kreator Okładek,Myrilla,Dyment,Genderfluid,China,mdyment4q@eepurl.com
Greenlam,0.91,Android,2,$33.24,4/3/2020,Blog,Farrand,Stoakes,Polygender,China,fstoakes4r@economist.com
Hatity,5.6,Android,1,$43.22,6/9/2021,Odtwarzacz muzyki,Pierette,Darrington,Female,Portugal,pdarrington4s@cbc.ca
Namfix,0.9.7,IOS,4,$16.99,12/12/2019,Blog,Belicia,Turban,Agender,Vietnam,bturban4t@washingtonpost.com
Keylex,8.07,Android,1,$24.74,7/11/2020,Notatnik,Birgit,Dahlman,Agender,Russia,bdahlman4u@furl.net
Bigtax,0.2.0,Android,5,$20.40,12/24/2019,Wyszukiwarka Synonimów,Cozmo,Blaine,Genderqueer,Brazil,cblaine4v@weather.com
It,0.10,Android,5,$17.15,7/11/2020,Komunikator,Faber,Petracchi,Male,Philippines,fpetracchi4w@businesswire.com
Span,7.09,IOS,0,$8.67,12/25/2020,Kreator Postaci,Loren,Bach,Genderqueer,Nigeria,lbach4x@state.gov
Kanlam,7.60,IOS,3,$8.35,8/5/2021,Wyszukiwarka Synonimów,Richy,Boyle,Bigender,China,rboyle4y@eventbrite.com
Cookley,3.1,IOS,4,$32.23,6/10/2021,Komunikator,Fallon,Surfleet,Genderqueer,Brazil,fsurfleet4z@hostgator.com
Stim,0.4.8,Android,2,$31.03,10/19/2020,Kreator Okładek,Karin,Beardsley,Agender,Jamaica,kbeardsley50@com.com
Tempsoft,9.2.4,IOS,3,$6.89,4/24/2021,Wyszukiwarka Synonimów,Cara,Selvester,Male,Peru,cselvester51@delicious.com
Rank,6.2.4,IOS,5,$49.11,3/12/2020,Galeria tematyczna,Meggie,Haywood,Genderfluid,Finland,mhaywood52@google.fr
It,9.5.7,IOS,0,$26.02,4/30/2021,Wyszukiwarka Synonimów,Scarlet,Davie,Polygender,Yemen,sdavie53@histats.com
Zoolab,0.10,Android,3,$13.53,7/19/2021,Komunikator,Flynn,Bursnell,Male,Serbia,fbursnell54@symantec.com
Regrant,6.5.8,Android,4,$24.03,8/24/2021,Kreator Okładek,Sheela,Arnaldy,Genderqueer,China,sarnaldy55@weibo.com
Asoka,5.50,IOS,5,$43.40,12/25/2019,Kreator Postaci,Cecil,O'Fallon,Polygender,Sweden,cofallon56@qq.com
Veribet,0.3.1,IOS,0,$23.88,12/29/2020,Tłumacz,Brooke,Tume,Male,Russia,btume57@kickstarter.com
Ventosanzap,0.67,IOS,4,$33.47,8/31/2020,Komunikator,Maryjane,L' Estrange,Non-binary,Philippines,mlestrange58@netscape.com
Stringtough,8.46,IOS,0,$38.97,10/12/2021,Odtwarzacz muzyki,Edith,Tinkler,Female,China,etinkler59@sourceforge.net
Gembucket,6.55,IOS,3,$23.88,3/1/2021,Sprawdzanie Poprawności Pisowni,Gerhard,Rosewell,Polygender,China,grosewell5a@last.fm
Fixflex,8.9,IOS,0,$0.14,9/15/2021,Blog,Ki,Moroney,Polygender,Suriname,kmoroney5b@ameblo.jp
Bytecard,8.56,Android,5,$26.82,4/27/2021,Kreator Postaci,Kellie,Vurley,Genderfluid,Mexico,kvurley5c@google.de
Trippledex,4.0.8,IOS,3,$38.90,6/23/2021,Tłumacz,Mahalia,Gillions,Agender,Indonesia,mgillions5d@nyu.edu
Bigtax,8.2.8,IOS,1,$14.69,7/12/2020,Sprawdzanie Poprawności Pisowni,Lon,Kaman,Bigender,Thailand,lkaman5e@homestead.com
